Nom de la ville;Code postal;Département;Région
AAST;Code postal de Aast : 64460;Pyrénées-Atlantiques;Aquitaine-Limousin-Poitou-Charentes
ABAINVILLE;Code postal de Abainville : 55130;Meuse;Alsace-Champagne-Ardenne-Lorraine
ABANCOURT;Code postal de Abancourt : 59265;Nord;Nord-Pas-de-Calais-Picardie
ABANCOURT;Code postal de Abancourt : 60220;Oise;Nord-Pas-de-Calais-Picardie
ABAUCOURT;Code postal de Abaucourt : 54610;Meurthe-et-Moselle;Alsace-Champagne-Ardenne-Lorraine
ABAUCOURT-HAUTECOURT;Code postal de Abaucourt-Hautecourt : 55400;Meuse;Alsace-Champagne-Ardenne-Lorraine
ABBANS-DESSOUS;Code postal de Abbans-Dessous : 25320;Doubs;Bourgogne-Franche-Comté
ABBANS-DESSUS;Code postal de Abbans-Dessus : 25440;Doubs;Bourgogne-Franche-Comté
ABBARETZ;Code postal de Abbaretz : 44170;Loire-Atlantique;Pays de la Loire
ABBéCOURT;Code postal de Abbécourt : 02300;Aisne;Nord-Pas-de-Calais-Picardie
ABBéCOURT;Code postal de Abbécourt : 60430;Oise;Nord-Pas-de-Calais-Picardie
ABBENANS;Code postal de Abbenans : 25340;Doubs;Bourgogne-Franche-Comté
ABBEVILLE;Code postal de Abbeville : 80132;Somme;Nord-Pas-de-Calais-Picardie
ABBéVILLE-LA-RIVIèRE;Code postal de Abbéville-la-Rivière : 91150;Essonne;Ile-de-France
ABBéVILLE-LèS-CONFLANS;Code postal de Abbéville-lès-Conflans : 54800;Meurthe-et-Moselle;Alsace-Champagne-Ardenne-Lorraine
ABBEVILLE-SAINT-LUCIEN;Code postal de Abbeville-Saint-Lucien : 60480;Oise;Nord-Pas-de-Calais-Picardie
ABBéVILLERS;Code postal de Abbévillers : 25310;Doubs;Bourgogne-Franche-Comté
ABEILHAN;Code postal de Abeilhan : 34290;Hérault;Languedoc-Roussillon-Midi-Pyrénées
ABELCOURT;Code postal de Abelcourt : 70300;Haute-Saône;Bourgogne-Franche-Comté
ABèRE;Code postal de Abère : 64160;Pyrénées-Atlantiques;Aquitaine-Limousin-Poitou-Charentes
ABERGEMENT-LA-RONCE;Code postal de Abergement-la-Ronce : 39500;Jura;Bourgogne-Franche-Comté
ABERGEMENT-LE-GRAND;Code postal de Abergement-le-Grand : 39600;Jura;Bourgogne-Franche-Comté
ABERGEMENT-LE-PETIT;Code postal de Abergement-le-Petit : 39800;Jura;Bourgogne-Franche-Comté
ABERGEMENT-LèS-THéSY;Code postal de Abergement-lès-Thésy : 39110;Jura;Bourgogne-Franche-Comté
ABIDOS;Code postal de Abidos : 64150;Pyrénées-Atlantiques;Aquitaine-Limousin-Poitou-Charentes
ABILLY;Code postal de Abilly : 37160;Indre-et-Loire;Centre-Val de Loire
ABITAIN;Code postal de Abitain : 64390;Pyrénées-Atlantiques;Aquitaine-Limousin-Poitou-Charentes
ABJAT-SUR-BANDIAT;Code postal de Abjat-sur-Bandiat : 24300;Dordogne;Aquitaine-Limousin-Poitou-Charentes
ABLAIN-SAINT-NAZAIRE;Code postal de Ablain-Saint-Nazaire : 62153;Pas-de-Calais;Nord-Pas-de-Calais-Picardie
ABLAINCOURT-PRESSOIR;Code postal de Ablaincourt-Pressoir : 80320;Somme;Nord-Pas-de-Calais-Picardie
ABLAINZEVELLE;Code postal de Ablainzevelle : 62116;Pas-de-Calais;Nord-Pas-de-Calais-Picardie
ABLANCOURT;Code postal de Ablancourt : 51240;Marne;Alsace-Champagne-Ardenne-Lorraine
ABLEIGES;Code postal de Ableiges : 95450;Val-d´oise;Ile-de-France
ABLEUVENETTES;Code postal de Ableuvenettes : 88270;Vosges;Alsace-Champagne-Ardenne-Lorraine
ABLIS;Code postal de Ablis : 78660;Yvelines;Ile-de-France
ABLON;Code postal de Ablon : 14600;Calvados;Normandie
ABLON-SUR-SEINE;Code postal de Ablon-sur-Seine : 94480;Val-de-Marne;Ile-de-France
